"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
12904881,2021-03-15,"buy","house","freehold",4,"Surbiton",825000,2021-05-07,30,"yes"
12920671,2021-03-16,"buy","house","freehold",4,"Plymouth",260000,2021-03-29,0,"no"
12929388,2021-03-16,"buy","house","freehold",2,"Cardiff",465000,2021-06-24,0,"no"
12942767,2021-03-02,"buy","house","freehold",3,"Leicester",299950,2021-03-26,11,"no"
12943103,2021-03-17,"buy","flat","leasehold",1,"Leicester",140000,2021-04-27,27,"yes"
12947322,2021-03-16,"buy","house","freehold",2,"Basildon",270000,2021-04-02,0,"no"
12947355,2021-03-16,"buy","house","freehold",2,"Basildon",250000,2021-08-25,0,"no"
12953381,2021-03-18,"buy","flat","leasehold",1,"Reading",220000,2021-08-03,21,"yes"
12960432,2021-03-17,"buy","house","freehold",5,"Newcastle Upon Tyne",3e+05,2021-05-24,13,"no"
12986360,2021-03-22,"buy","house","freehold",3,"Uxbridge",485000,2021-04-19,0,"no"
13010006,2021-03-23,"buy","house","freehold",3,"Gloucester",180000,2021-09-02,0,"yes"
13011836,2021-03-23,"buy","house","unknown",2,"Wolverhampton",220000,2021-05-06,0,"no"
13020009,2021-03-17,"buy","house","freehold",2,"Sheffield",140000,2021-09-28,0,"no"
13023879,2021-03-24,"buy","house","unknown",2,"Stoke On Trent",155000,2021-04-11,0,"yes"
13037419,2021-03-23,"buy","flat","leasehold",2,"Cheltenham",235000,2021-04-16,0,"no"
17251419,2022-06-16,"buy","house","freehold",4,"Leicester",475000,2022-08-01,0,"yes"
17256164,2022-06-17,"buy","house","freehold",3,"Gloucester",310000,2022-07-20,26,"yes"
17259136,2022-06-16,"buy","house","freehold",3,"Chelmsford",425000,2022-08-10,0,"no"
17264349,2022-06-18,"buy","house","freehold",5,"Reading",6e+05,2022-07-27,0,"no"
17264578,2022-06-17,"buy","house","freehold",2,"Newcastle Upon Tyne",395000,2022-08-09,34,"yes"
17280790,2022-06-20,"buy","house","freehold",3,"Basildon",360000,2022-07-22,0,"no"
17283668,2022-06-20,"buy","house","freehold",4,"Mansfield",325000,2022-08-12,0,"yes"
16144436,2022-02-23,"buy","house","freehold",3,"Ilford",635000,2022-06-20,0,"no"
16147897,2022-02-23,"buy","flat","leasehold",1,"Bromley",3e+05,2022-05-30,0,"no"
16156591,2022-02-24,"buy","flat","leasehold",2,"Bath",5e+05,2022-07-26,91,"yes"
16159383,2022-02-25,"buy","house","freehold",4,"Uxbridge",990000,2022-04-27,2,"no"
16164571,2021-06-19,"buy","flat","leasehold",1,"Bromley",275000,2021-12-07,1,"no"
16177277,2022-02-27,"buy","house","freehold",3,"Brighton",650000,2022-03-29,0,"no"
16185837,2022-03-01,"buy","flat","leasehold",1,"Chelmsford",275000,2022-04-21,22,"no"
16188336,2022-03-01,"buy","flat","leasehold",1,"Chelmsford",275000,2022-04-21,22,"no"
16226284,2022-03-03,"buy","house","freehold",5,"Gillingham",375000,2022-03-17,0,"no"
16230231,2022-03-04,"buy","house","freehold",4,"Leicester",275000,2022-03-22,0,"yes"
16240656,2022-03-04,"buy","flat","leasehold",1,"Dartford",170000,2022-06-06,0,"yes"
16242795,2022-03-04,"buy","house","freehold",3,"Sheffield",250000,2022-04-21,0,"yes"
16255334,2022-03-07,"buy","house","freehold",2,"Sheffield",110000,2022-08-05,0,"no"
16259650,2022-03-07,"buy","house","freehold",3,"Leicester",375000,2022-04-21,21,"yes"
16275578,2021-11-24,"buy","house","unknown",3,"Cheltenham",395000,2022-08-12,164,"yes"
16290062,2022-03-09,"buy","house","freehold",2,"Hull",225000,2022-05-31,0,"yes"
16295698,2021-07-13,"buy","house","unknown",3,"Newcastle Upon Tyne",350000,2021-09-14,53,"yes"
16303214,2022-03-11,"buy","house","unknown",2,"Leicester",325000,2022-06-09,0,"yes"
16307739,2022-03-11,"buy","flat","leasehold",2,"Cardiff",250000,2022-07-18,60,"yes"
16331445,2022-03-15,"buy","house","freehold",4,"Warrington",350000,2022-04-25,0,"no"
16338734,2022-03-14,"buy","house","freehold",5,"Reading",7e+05,2022-05-11,34,"yes"
16364022,2022-03-17,"buy","house","freehold",4,"Reading",550000,2022-04-08,0,"no"
16372880,2022-03-18,"buy","house","freehold",4,"Sheffield",460000,2022-03-31,0,"no"
16377774,2022-03-18,"buy","house","freehold",4,"Coventry",750000,2022-06-22,35,"yes"
16381582,2022-03-16,"buy","house","freehold",4,"Warrington",550000,2022-04-07,0,"yes"
