"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","revised_asking_price"
13431055,2021-05-01,"buy","flat","leasehold",1,"Barnet",278500,2021-06-04,265000
13431771,2021-04-30,"buy","house","freehold",5,"Warrington",875000,2021-07-27,850000
13432158,2021-04-29,"buy","house","freehold",4,"Exeter",450000,2021-12-03,425000
14186517,2021-07-14,"buy","house","unknown",2,"Cardiff",220000,2021-10-05,215000
14218916,2021-07-16,"buy","house","freehold",3,"Coventry",350000,2021-09-22,325000
14246791,2021-07-21,"buy","house","unknown",3,"Sheffield",255000,2021-08-17,250000
14253891,2021-07-21,"buy","flat","leasehold",2,"Reading",220000,2021-10-19,2e+05
14263845,2021-07-21,"buy","flat","leasehold",2,"Warrington",145000,2021-09-07,140000
14285321,2021-07-23,"buy","flat","leasehold",2,"Harrogate",499000,2021-09-15,475000
14296391,2021-07-27,"buy","house","freehold",2,"Bromley",475000,2021-08-25,450000
14301005,2021-07-27,"buy","house","freehold",3,"Leicester",280000,2021-08-05,269950
14309119,2021-07-28,"buy","flat","leasehold",1,"Salford",206000,2021-08-04,199000
14332596,2021-07-28,"buy","house","freehold",2,"Cheltenham",350000,2021-10-22,330000
13343699,2021-04-23,"buy","house","freehold",3,"Barnet",775000,2021-05-11,750000
13345376,2021-04-22,"buy","house","freehold",3,"Reading",425000,2021-06-01,4e+05
13352381,2021-04-24,"buy","house","freehold",3,"Newcastle Upon Tyne",160000,2021-05-11,150000
13373182,2021-04-27,"buy","house","unknown",3,"Cheltenham",425000,2021-06-03,415000
13376398,2021-04-27,"buy","house","freehold",3,"Coventry",525000,2021-05-21,5e+05
13382381,2021-04-26,"buy","house","freehold",3,"Leicester",280000,2021-06-09,270000
13404482,2021-04-29,"buy","flat","leasehold",2,"Leicester",150000,2021-06-24,140000
13408513,2021-04-27,"buy","flat","leasehold",2,"Reading",245000,2021-05-21,240000
13411729,2021-04-30,"buy","house","freehold",3,"Leicester",395000,2021-09-21,385000
13413287,2021-04-29,"buy","house","freehold",5,"Lincoln",799950,2021-06-03,750000
13421844,2021-04-28,"buy","flat","leasehold",1,"Watford",225000,2021-06-07,210000
13422316,2021-04-30,"buy","flat","leasehold",1,"Watford",3e+05,2021-06-03,280000
13429314,2021-04-29,"buy","house","freehold",3,"Coventry",185000,2021-05-24,170000
13437412,2021-05-01,"buy","house","freehold",3,"Hull",115000,2021-05-17,110000
13450027,2021-05-04,"buy","flat","leasehold",2,"Plymouth",130000,2021-05-21,123000
13451889,2021-05-03,"buy","house","freehold",2,"Reading",310000,2021-06-22,299950
13464298,2021-05-06,"buy","house","freehold",3,"Ilford",525000,2021-06-29,510000
13468759,2021-05-06,"buy","flat","leasehold",1,"Bromley",325000,2021-06-29,290000
13470811,2021-05-06,"buy","house","freehold",2,"Newcastle Upon Tyne",120000,2021-05-10,105000
13497093,2021-05-08,"buy","house","freehold",3,"Coventry",270000,2021-05-20,260000
13498516,2021-05-07,"buy","flat","leasehold",1,"Reading",180000,2021-12-20,160000
13509743,2021-05-10,"buy","flat","leasehold",2,"Uxbridge",325000,2021-05-24,315000
13547274,2021-05-13,"buy","flat","unknown",0,"Surbiton",249950,2021-07-23,239950
13557340,2021-05-14,"buy","house","freehold",3,"Uxbridge",450000,2021-06-07,425000
13586857,2021-05-17,"buy","flat","leasehold",2,"Coventry",110000,2021-09-02,1e+05
13601587,2021-05-18,"buy","flat","leasehold",2,"Surbiton",365000,2021-06-09,349950
13605126,2021-05-18,"buy","house","unknown",2,"Leicester",239995,2021-05-26,230000
13605320,2021-05-17,"buy","house","freehold",3,"Cheltenham",250000,2021-06-22,240000
13762820,2021-06-03,"buy","flat","leasehold",2,"Cardiff",195000,2021-07-29,189950
13797865,2021-06-07,"buy","house","freehold",4,"Ilford",6e+05,2021-10-25,575000
13824093,2021-06-07,"buy","house","freehold",4,"Lincoln",425000,2021-09-06,385000
13829523,2021-06-08,"buy","flat","leasehold",2,"Harrogate",222500,2021-08-11,220000
13830055,2021-06-08,"buy","house","unknown",2,"Stoke On Trent",299950,2022-01-10,295000
13831391,2021-02-12,"buy","house","freehold",4,"Wolverhampton",4e+05,2021-11-09,395000
13834048,2021-06-10,"buy","flat","leasehold",2,"Bromley",380000,2021-07-16,360000
